ValueMeaning	LabelValueMeaning	Referentiel	url	TypeConceptualDomain	FormatConceptualDomain	ConceptualDomain
OSIRIS:C37-2	Imaging	OSIRIS		Enumerated	String	OSIRIS:AnalysisType
OSIRIS:C37-3	Omic	OSIRIS		Enumerated	String	OSIRIS:AnalysisType
OSIRIS:C37-4	Pathology	OSIRIS		Enumerated	String	OSIRIS:AnalysisType
UMLS:C0439673	Unknown	UMLS		Enumerated	String	OSIRIS:AnalysisType
RECIST:CR	Complete Response	RECIST v1.1		Enumerated	String	OSIRIS:RECIST
RECIST:PR	Partial Response	RECIST v1.1		Enumerated	String	OSIRIS:RECIST
RECIST:SD	Stable disease	RECIST v1.1		Enumerated	String	OSIRIS:RECIST
RECIST:PD	Progressive Disease	RECIST v1.1		Enumerated	String	OSIRIS:RECIST
RECIST:NE	Not evaluable	RECIST v1.1		Enumerated	String	OSIRIS:RECIST
OSIRIS:C39-1	CKIT	OSIRIS		Enumerated	String	OSIRIS:BiomarkerCode
OSIRIS:C39-2	b-catenine	OSIRIS		Enumerated	String	OSIRIS:BiomarkerCode
OSIRIS:C39-3	CKIT/DOG1	OSIRIS		Enumerated	String	OSIRIS:BiomarkerCode
OSIRIS:C39-4	FOXL2/DICER	OSIRIS		Enumerated	String	OSIRIS:BiomarkerCode
OSIRIS:C39-5	ETV6-NTRK3	OSIRIS		Enumerated	String	OSIRIS:BiomarkerCode
OSIRIS:C39-6	MYB-NFIB	OSIRIS		Enumerated	String	OSIRIS:BiomarkerCode
OSIRIS:C39-7	PDGFRA/FGFR1	OSIRIS		Enumerated	String	OSIRIS:BiomarkerCode
OSIRIS:C39-8	MDM2	OSIRIS		Enumerated	String	OSIRIS:BiomarkerCode
OSIRIS:C39-9	N-MYC	OSIRIS		Enumerated	String	OSIRIS:BiomarkerCode
OSIRIS:C39-10	C-MYC	OSIRIS		Enumerated	String	OSIRIS:BiomarkerCode
OSIRIS:C39-11	BCR-ABL1	OSIRIS		Enumerated	String	OSIRIS:BiomarkerCode
OSIRIS:C39-12	COL1A1	OSIRIS		Enumerated	String	OSIRIS:BiomarkerCode
OSIRIS:C39-13	DDIT3	OSIRIS		Enumerated	String	OSIRIS:BiomarkerCode
OSIRIS:C39-14	EWSR2	OSIRIS		Enumerated	String	OSIRIS:BiomarkerCode
OSIRIS:C39-15	SYT	OSIRIS		Enumerated	String	OSIRIS:BiomarkerCode
OSIRIS:C39-16	CTNNB1	OSIRIS		Enumerated	String	OSIRIS:BiomarkerCode
OSIRIS:C39-17	FUS	OSIRIS		Enumerated	String	OSIRIS:BiomarkerCode
OSIRIS:C39-18	IGH-BCL2	OSIRIS		Enumerated	String	OSIRIS:BiomarkerCode
OSIRIS:C39-19	JAZF1	OSIRIS		Enumerated	String	OSIRIS:BiomarkerCode
OSIRIS:C39-20	FOXO1A	OSIRIS		Enumerated	String	OSIRIS:BiomarkerCode
OSIRIS:C39-21	TFE3	OSIRIS		Enumerated	String	OSIRIS:BiomarkerCode
OSIRIS:C39-22	HPV	OSIRIS		Enumerated	String	OSIRIS:BiomarkerCode
OSIRIS:C39-23	Merkell	OSIRIS		Enumerated	String	OSIRIS:BiomarkerCode
OSIRIS:C39-24	EBER	OSIRIS		Enumerated	String	OSIRIS:BiomarkerCode
OSIRIS:C39-25	PSA	OSIRIS		Enumerated	String	OSIRIS:BiomarkerCode
OSIRIS:C39-26	CA125	OSIRIS		Enumerated	String	OSIRIS:BiomarkerCode
OSIRIS:C39-27	CA153	OSIRIS		Enumerated	String	OSIRIS:BiomarkerCode
OSIRIS:C39-28	CA199	OSIRIS		Enumerated	String	OSIRIS:BiomarkerCode
OSIRIS:C39-29	Ki67	OSIRIS		Enumerated	String	OSIRIS:BiomarkerCode
OSIRIS:C39-30	Nb mitoses	OSIRIS		Enumerated	String	OSIRIS:BiomarkerCode
OSIRIS:C39-31	RO	OSIRIS		Enumerated	String	OSIRIS:BiomarkerCode
OSIRIS:C39-32	RP	OSIRIS		Enumerated	String	OSIRIS:BiomarkerCode
OSIRIS:C39-33	HER2	OSIRIS		Enumerated	String	OSIRIS:BiomarkerCode
OSIRIS:C39-34	PD-L1	OSIRIS		Enumerated	String	OSIRIS:BiomarkerCode
OSIRIS:C39-35	AMHR2	OSIRIS		Enumerated	String	OSIRIS:BiomarkerCode
OSIRIS:C39-36	P53	OSIRIS		Enumerated	String	OSIRIS:BiomarkerCode
OSIRIS:C39-37	BRCA	OSIRIS		Enumerated	String	OSIRIS:BiomarkerCode
OSIRIS:C39-38	MSI	OSIRIS		Enumerated	String	OSIRIS:BiomarkerCode
OSIRIS:C39-39	CDK12	OSIRIS		Enumerated	String	OSIRIS:BiomarkerCode
OSIRIS:C39-40	BRAF	OSIRIS		Enumerated	String	OSIRIS:BiomarkerCode
OSIRIS:C39-41	NRAS-KRAS	OSIRIS		Enumerated	String	OSIRIS:BiomarkerCode
OSIRIS:C39-42	EGFR	OSIRIS		Enumerated	String	OSIRIS:BiomarkerCode
OSIRIS:C39-43	ALK	OSIRIS		Enumerated	String	OSIRIS:BiomarkerCode
OSIRIS:C39-44	ROS1	OSIRIS		Enumerated	String	OSIRIS:BiomarkerCode
OSIRIS:C39-45	C-MET	OSIRIS		Enumerated	String	OSIRIS:BiomarkerCode
OSIRIS:C39-46	ESR1	OSIRIS		Enumerated	String	OSIRIS:BiomarkerCode
OSIRIS:C39-47	PAM50	OSIRIS		Enumerated	String	OSIRIS:BiomarkerCode
OSIRIS:C39-48	ENDOPREDICT	OSIRIS		Enumerated	String	OSIRIS:BiomarkerCode
UMLS:C3665472	Chemotherapy	UMLS		Enumerated	String	OSIRIS:TreatmentType
UMLS:C0279025	Hormone therapy	UMLS		Enumerated	String	OSIRIS:TreatmentType
UMLS:C1522449	Therapeutic radiology procedure	UMLS		Enumerated	String	OSIRIS:TreatmentType
UMLS:C0728940	Surgery	UMLS		Enumerated	String	OSIRIS:TreatmentType
UMLS:C0006098	Brachytherapy	UMLS		Enumerated	String	OSIRIS:TreatmentType
UMLS:C0021083	Immunotherapy	UMLS		Enumerated	String	OSIRIS:TreatmentType
UMLS:C0005961	Bone marrow transplant	UMLS		Enumerated	String	OSIRIS:TreatmentType
UMLS:C0279694	Monoclonal antibody	UMLS		Enumerated	String	OSIRIS:TreatmentType
UMLS:C0439673	Unknown	UMLS		Enumerated	String	OSIRIS:TreatmentType
TO_BE_DEFINED	TO_BE_DEFINED	CCAM	http://www.ameli.fr/accueil-de-la-ccam/index.php	Enumerated	String	CCAM
R0	No apparent residual disease	ICGC		Enumerated	String	OSIRIS:SurgeryResectionQuality
R1	Microscopic residual disease	ICGC		Enumerated	String	OSIRIS:SurgeryResectionQuality
R2	Gross residual disease	ICGC		Enumerated	String	OSIRIS:SurgeryResectionQuality
UMLS:C0439673	Unknown	UMLS		Enumerated	String	OSIRIS:SurgeryResectionQuality
UMLS:C0005767	Blood	NCI	https://ncim.nci.nih.gov/ncimbrowser/ConceptReport.jsp?dictionary=NCI Metathesaurus&code=C0005767	Enumerated	String	OSIRIS:SampleNature
UMLS:C0032105	Plasma	NCI	https://ncim-stage.nci.nih.gov/ncimbrowser/ConceptReport.jsp?dictionary=NCI%20Metathesaurus&code=C0032105	Enumerated	String	OSIRIS:SampleNature
UMLS:C1321301	Peripheral Blood Mononuclear Cell	NCI	https://ncim.nci.nih.gov/ncimbrowser/ConceptReport.jsp?dictionary=NCI Metathesaurus&code=C0085983	Enumerated	String	OSIRIS:SampleNature
UMLS:C0085983	Tumor Cell Line	NCI	https://ncim.nci.nih.gov/ncimbrowser/ConceptReport.jsp?dictionary=NCI Metathesaurus&code=C0085983	Enumerated	String	OSIRIS:SampleNature
UMLS:C1548793	Frozen Specimen	NCI	https://ncim.nci.nih.gov/ncimbrowser/ConceptReport.jsp?dictionary=NCI Metathesaurus&code=C1548793	Enumerated	String	OSIRIS:SampleNature
UMLS:C1519524	Paraffin Embedded Tissue (FFPE)	NCI		Enumerated	String	OSIRIS:SampleNature
UMLS:C0042036	Urine	NCI	https://ncim.nci.nih.gov/ncimbrowser/ConceptReport.jsp?dictionary=NCI Metathesaurus&code=C0042036	Enumerated	String	OSIRIS:SampleNature
UMLS:C0439673	Unknown	UMLS		Enumerated	String	OSIRIS:SampleNature
OSIRIS:O59-1	Normal	OSIRIS		Enumerated	String	OSIRIS:SampleOrigin
OSIRIS:O59-2	Tumoral	OSIRIS		Enumerated	String	OSIRIS:SampleOrigin
UMLS:C0439673	Unknown	UMLS		Enumerated	String	OSIRIS:SampleOrigin
OSIRIS:C60-1	Room temperature	MIABIS-2.0-15	https://github.com/MIABIS/miabis/wiki/Structured-data-and-lists#miabis-20-15	Enumerated	String	OSIRIS:StorageTemperature
OSIRIS:C60-2	Between 2 °C and 10 °C	MIABIS-2.0-15	https://github.com/MIABIS/miabis/wiki/Structured-data-and-lists#miabis-20-15	Enumerated	String	OSIRIS:StorageTemperature
OSIRIS:C60-3	Between -18 °C and -35 °C	MIABIS-2.0-15	https://github.com/MIABIS/miabis/wiki/Structured-data-and-lists#miabis-20-15	Enumerated	String	OSIRIS:StorageTemperature
OSIRIS:C60-4	Between -60 °C and -85 °C	MIABIS-2.0-15	https://github.com/MIABIS/miabis/wiki/Structured-data-and-lists#miabis-20-15	Enumerated	String	OSIRIS:StorageTemperature
OSIRIS:C60-5	Liquid nitrogen, -150 °C to -196 °C	MIABIS-2.0-15	https://github.com/MIABIS/miabis/wiki/Structured-data-and-lists#miabis-20-15	Enumerated	String	OSIRIS:StorageTemperature
OSIRIS:C60-6	Other	MIABIS-2.0-15	https://github.com/MIABIS/miabis/wiki/Structured-data-and-lists#miabis-20-15	Enumerated	String	OSIRIS:StorageTemperature
UMLS:C0439673	Unknown	UMLS		Enumerated	String	OSIRIS:StorageTemperature
OSIRIS:O6-1	ChIP-on-Chip	OSIRIS		Enumerated	String	OSIRIS:TechnicalProtocol
OSIRIS:O6-2	ChIP-seq	OSIRIS		Enumerated	String	OSIRIS:TechnicalProtocol
OSIRIS:O6-3	DNA microarray	OSIRIS		Enumerated	String	OSIRIS:TechnicalProtocol
OSIRIS:O6-4	DNA targeted panel sequencing	OSIRIS		Enumerated	String	OSIRIS:TechnicalProtocol
OSIRIS:O6-5	Exome sequencing	OSIRIS		Enumerated	String	OSIRIS:TechnicalProtocol
OSIRIS:O6-6	Mass spectrometry	OSIRIS		Enumerated	String	OSIRIS:TechnicalProtocol
OSIRIS:O6-7	MeDIP-Chip	OSIRIS		Enumerated	String	OSIRIS:TechnicalProtocol
OSIRIS:O6-8	MeDIP-seq	OSIRIS		Enumerated	String	OSIRIS:TechnicalProtocol
OSIRIS:O6-9	Methylation microarray	OSIRIS		Enumerated	String	OSIRIS:TechnicalProtocol
OSIRIS:O6-10	RNA microarray	OSIRIS		Enumerated	String	OSIRIS:TechnicalProtocol
OSIRIS:O6-11	RNA targeted panel sequencing	OSIRIS		Enumerated	String	OSIRIS:TechnicalProtocol
OSIRIS:O6-12	RNA-seq	OSIRIS		Enumerated	String	OSIRIS:TechnicalProtocol
OSIRIS:O6-13	RPPA	OSIRIS		Enumerated	String	OSIRIS:TechnicalProtocol
OSIRIS:O6-14	Whole genome bisulfite sequencing	OSIRIS		Enumerated	String	OSIRIS:TechnicalProtocol
OSIRIS:O6-15	Whole genome sequencing	OSIRIS		Enumerated	String	OSIRIS:TechnicalProtocol
OSIRIS:O6-16	miRNA microarray	OSIRIS		Enumerated	String	OSIRIS:TechnicalProtocol
OSIRIS:O7-1	Affymetrix Cytoscan HD	OSIRIS		Enumerated	String	OSIRIS:PlatformName
OSIRIS:O7-2	Affymetrix EMET Plus Premier Pack	OSIRIS		Enumerated	String	OSIRIS:PlatformName
OSIRIS:O7-3	Affymetrix Genome-Wide Human SNP Array 5.0	OSIRIS		Enumerated	String	OSIRIS:PlatformName
OSIRIS:O7-4	Affymetrix Genome-Wide Human SNP Array 6.0	OSIRIS		Enumerated	String	OSIRIS:PlatformName
OSIRIS:O7-5	Affymetrix HT Human Genome U133A Array Plate Set	OSIRIS		Enumerated	String	OSIRIS:PlatformName
OSIRIS:O7-6	Affymetrix Human Exon 1.0 ST	OSIRIS		Enumerated	String	OSIRIS:PlatformName
OSIRIS:O7-7	Affymetrix Human Gene 1.0 ST	OSIRIS		Enumerated	String	OSIRIS:PlatformName
OSIRIS:O7-8	Affymetrix Human Genome U219 Array Plate	OSIRIS		Enumerated	String	OSIRIS:PlatformName
OSIRIS:O7-9	Affymetrix Human MIP 330K	OSIRIS		Enumerated	String	OSIRIS:PlatformName
OSIRIS:O7-10	Affymetrix Human U133 Plus 2.0	OSIRIS		Enumerated	String	OSIRIS:PlatformName
OSIRIS:O7-11	Affymetrix Human U133 Plus PM	OSIRIS		Enumerated	String	OSIRIS:PlatformName
OSIRIS:O7-12	Affymetrix Mapping 100K Array Set	OSIRIS		Enumerated	String	OSIRIS:PlatformName
